toolkit	row	cell	bias	forced_tile	forced_over_auto_p50	forced_over_auto_p95	internal_win	forced_over_vendor_p50	forced_over_vendor_p95	vendor_win
12.8	bf16	hot_a	false	Tc128Sm89Pipeline	0.770893544	0.772466616	true	0.848627050	0.849993519	true
12.8	bf16	hot_a	false	Tc128Sm89Swizzle	0.770422403	0.771552209	true	0.847877025	0.849386917	true
12.8	bf16	hot_a	true	Tc128Sm89Pipeline	0.775567037	0.776544907	true	0.595624467	0.596349570	true
12.8	bf16	hot_a	true	Tc128Sm89Swizzle	0.769660243	0.771598174	true	0.593274258	0.593979850	true
12.8	bf16	hot_b	false	Tc128Sm89Pipeline	0.827594805	0.866722523	true	1.455616134	1.486404004	false
12.8	bf16	hot_b	false	Tc128Sm89Swizzle	0.708822457	0.747004407	true	1.242916985	1.289439118	false
12.8	bf16	hot_b	true	Tc128Sm89Pipeline	0.831964064	0.859555961	true	1.116952377	1.128333702	false
12.8	bf16	hot_b	true	Tc128Sm89Swizzle	0.707007226	0.715423020	true	0.948892756	0.956328564	true
12.8	bf16	hot_c	false	Tc128Sm89Pipeline	0.753189507	0.759401797	true	0.715679765	0.744056152	true
12.8	bf16	hot_c	false	Tc128Sm89Swizzle	0.746924119	0.752640197	true	0.713436330	0.729882353	true
12.8	bf16	hot_c	true	Tc128Sm89Pipeline	0.758656677	0.762197071	true	0.640316749	0.667553977	true
12.8	bf16	hot_c	true	Tc128Sm89Swizzle	0.748935550	0.750000000	true	0.626466272	0.655777590	true
12.8	bf16	hot_d	false	Tc128Sm89Pipeline	0.818261585	0.819619790	true	1.209081651	1.215523081	false
12.8	bf16	hot_d	false	Tc128Sm89Swizzle	0.708825320	0.711296598	true	1.043615709	1.058606583	false
12.8	bf16	hot_d	true	Tc128Sm89Pipeline	0.824043249	0.825075620	true	0.922465638	0.926133421	true
12.8	bf16	hot_d	true	Tc128Sm89Swizzle	0.712463654	0.713213907	true	0.792223109	0.795367025	true
12.8	bf16	hot_e	false	Tc128Sm89Pipeline	0.772058046	0.772494259	true	0.884148546	0.885429888	true
12.8	bf16	hot_e	false	Tc128Sm89Swizzle	0.724291178	0.724669382	true	0.829381579	0.830445001	true
12.8	bf16	hot_e	true	Tc128Sm89Pipeline	0.772603147	0.773042934	true	0.796568568	0.798492716	true
12.8	bf16	hot_e	true	Tc128Sm89Swizzle	0.725325525	0.725777241	true	0.747926305	0.749694745	true
12.8	f16	hot_a	false	Tc128Sm89Pipeline	0.748193723	0.764505616	true	0.915305316	0.940067253	true
12.8	f16	hot_a	false	Tc128Sm89Swizzle	0.750205531	0.764337334	true	0.916552493	0.943422377	true
12.8	f16	hot_a	true	Tc128Sm89Pipeline	0.766100254	0.773859938	true	0.615671082	0.634992754	true
12.8	f16	hot_a	true	Tc128Sm89Swizzle	0.765094300	0.771123886	true	0.611151294	0.632429534	true
12.8	f16	hot_b	false	Tc128Sm89Pipeline	0.828991977	0.866736207	true	1.381578942	1.394581215	false
12.8	f16	hot_b	false	Tc128Sm89Swizzle	0.712771479	0.758452913	true	1.191477789	1.231018560	false
12.8	f16	hot_b	true	Tc128Sm89Pipeline	0.832310945	0.853680024	true	1.065083915	1.076705673	false
12.8	f16	hot_b	true	Tc128Sm89Swizzle	0.711333863	0.723354844	true	0.911092572	0.928306230	true
