   Compiling mamba-rs v0.6.9 (/root/mamba-ada-half-swizzle-force-20260906)
    Finished `release` profile [optimized] target(s) in 1.44s
     Running tests/gemm_bi_fixed_correctness.rs (/root/target-ada-half-swizzle-force-cuda128-20260906/release/deps/gemm_bi_fixed_correctness-e745b7cbbfaa93fe)

running 2 tests
test fixed_sm89_rna_wide_actual_auto_all_cells_prefix_views_and_graph_bits ... mamba-rs cache trace: Fixed arch=sm_89 key=53c404fc45b06ef3faf5ef8842f166da9fa77df7f2965f64f39c4aae608261af path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda128-20260906/mamba-kernels-v1-53c404fc45b06ef3faf5ef8842f166da9fa77df7f2965f64f39c4aae608261af.bin") source_len=688275
mamba-rs cache trace: Fixed hit artifact=323538314fb45b937e7eaca4e3c646c8e1d055a56e980e8bf72432bb6f879964
mamba-rs cache trace: TriadScalar arch=sm_89 key=da5dabeff55570d1fb6ca43a1d4a8aa7a2a9d25efb6436ed7f03c4a28a73d986 path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda128-20260906/mamba-kernels-v1-da5dabeff55570d1fb6ca43a1d4a8aa7a2a9d25efb6436ed7f03c4a28a73d986.bin") source_len=360564
mamba-rs cache trace: TriadScalar hit artifact=5ca86bc2e1bd5548977e0c18d0287915e27d57226f1cc3dd0f5fdaf15a549db8
mamba-rs cache trace: TriadSm80 arch=sm_89 key=73fbec7557a95462a555e39f1b3c94e8d2bcc7047a14f8f3e3fa51a768ec5b9a path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda128-20260906/mamba-kernels-v1-73fbec7557a95462a555e39f1b3c94e8d2bcc7047a14f8f3e3fa51a768ec5b9a.bin") source_len=268383
mamba-rs cache trace: TriadSm80 hit artifact=b6214e1c2c4f792a6a765be1f94d51294afd0aeb474f90e706485058c0d10947
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=1 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=1 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=15 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=15 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=16 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
