   Compiling mamba-rs v0.6.9 (/root/mamba-ada-half-swizzle-force-20260906)
    Finished `release` profile [optimized] target(s) in 1.35s
     Running tests/gemm_bi_fixed_correctness.rs (/root/target-ada-half-swizzle-force-cuda130-20260906/release/deps/gemm_bi_fixed_correctness-e9a896bca3cebdf4)

running 2 tests
test fixed_sm89_rna_wide_actual_auto_all_cells_prefix_views_and_graph_bits ... mamba-rs cache trace: Fixed arch=sm_89 key=e96609c91e1e74d22a2aa435f7a723fb6a78e08f1e66c818d6a6930dc5b7e0e6 path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda130-20260906/mamba-kernels-v1-e96609c91e1e74d22a2aa435f7a723fb6a78e08f1e66c818d6a6930dc5b7e0e6.bin") source_len=688275
mamba-rs cache trace: Fixed hit artifact=45ccedfa2904b03e2eb0d25a331e54ade876158a482ea821e255626c0aea8e59
mamba-rs cache trace: TriadScalar arch=sm_89 key=ceeda6e9d55cfd166dafd638a9055daf8a1bb044f573c3349e147bff03b8fe7b path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda130-20260906/mamba-kernels-v1-ceeda6e9d55cfd166dafd638a9055daf8a1bb044f573c3349e147bff03b8fe7b.bin") source_len=360564
mamba-rs cache trace: TriadScalar hit artifact=9eeb24718aebc4a11d0edddaed73b4699a8cad8de3cb7d53b6ccc9e6b72f2166
mamba-rs cache trace: TriadSm80 arch=sm_89 key=feac83eb41fcc629d0c4bf9be1758d9e92c431728e17c1f46cfcd5c5a9ebc27d path=Some("/root/mamba-kcache-ada-half-swizzle-force-cuda130-20260906/mamba-kernels-v1-feac83eb41fcc629d0c4bf9be1758d9e92c431728e17c1f46cfcd5c5a9ebc27d.bin") source_len=268383
mamba-rs cache trace: TriadSm80 hit artifact=f86b732bf1983dd9455e4dade8ddc775dac08d02d29b7d780358b0a5f6d52ff1
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=1 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=1 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=15 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=15 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=16 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=16 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=17 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=17 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=31 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=31 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=32 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=32 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=33 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=33 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=63 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=63 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=64 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=64 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=65 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=65 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=127 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=127 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=128 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=128 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=129 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=129 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=255 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=255 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=256 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=256 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=false row_offset=17 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=false row_offset=17 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=4621 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6016 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6016 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6017 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6017 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6018 exceptional=false bias=false row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=6018 exceptional=false bias=false row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=1 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=1 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=15 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=15 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=16 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=16 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=17 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=17 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=31 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=31 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=32 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=32 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=33 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=33 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=63 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=63 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=64 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=64 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=65 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=65 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=127 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=127 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=128 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=128 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=129 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=129 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=255 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=255 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=256 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=256 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=true row_offset=0 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=true row_offset=0 output_offset=4 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=true row_offset=17 output_offset=1 actual_auto=true
RNA_WIDE_QUALIFIED_GROUP case=tail shape_m=6018 k=36 n=132 view_m=257 exceptional=false bias=true row_offset=17 output_offset=4 actual_auto=true
