"Kernel Name","gemm_bi_nn_fixed_rna_wide_tf32_v1_m128n128_bk32_s3",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x7ea99f2e0300","      IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28]","768","24576"
"0x7ea99f2e0310","      IMAD.MOV.U32 R0, RZ, RZ, c[0x0][0x190]","768","24576"
"0x7ea99f2e0320","      S2R R5, SR_CTAID.X","768","24576"
"0x7ea99f2e0330","      ULDC.64 UR6, c[0x0][0x118]","768","24576"
"0x7ea99f2e0340","      IADD3 R0, R0, 0x7f, RZ","768","24576"
"0x7ea99f2e0350","      SHF.R.S32.HI R3, RZ, 0x1f, R0","768","24576"
"0x7ea99f2e0360","      LEA.HI R3, R3, R0, RZ, 0x7","768","24576"
"0x7ea99f2e0370","      SHF.R.S32.HI R116, RZ, 0x7, R3","768","24576"
"0x7ea99f2e0380","      IABS R7, R116","768","24576"
"0x7ea99f2e0390","      IABS R8, R116","768","24576"
"0x7ea99f2e03a0","      I2F.RP R0, R7","768","24576"
"0x7ea99f2e03b0","      IABS R6, R5","768","24576"
"0x7ea99f2e03c0","      MUFU.RCP R0, R0","768","24576"
"0x7ea99f2e03d0","      IADD3 R2, R0, 0xffffffe, RZ","768","24576"
"0x7ea99f2e03e0","      IMAD.MOV R0, RZ, RZ, -R8","768","24576"
"0x7ea99f2e03f0","      F2I.FTZ.U32.TRUNC.NTZ R3, R2","768","24576"
"0x7ea99f2e0400","      IMAD.MOV.U32 R2, RZ, RZ, RZ","768","24576"
"0x7ea99f2e0410","      IMAD.MOV R4, RZ, RZ, -R3","768","24576"
"0x7ea99f2e0420","      IMAD R9, R4, R7, RZ","768","24576"
"0x7ea99f2e0430","      IMAD.MOV.U32 R4, RZ, RZ, R6","768","24576"
"0x7ea99f2e0440","      IMAD.HI.U32 R3, R3, R9, R2","768","24576"
"0x7ea99f2e0450","      S2R R6, SR_TID.X","768","24576"
"0x7ea99f2e0460","      IMAD.HI.U32 R3, R3, R4, RZ","768","24576"
"0x7ea99f2e0470","      IMAD R0, R3, R0, R4","768","24576"
"0x7ea99f2e0480","      ISETP.GT.U32.AND P1, PT, R7, R0, PT","768","24576"
"0x7ea99f2e0490","@!P1  IMAD.IADD R0, R0, 0x1, -R7","768","3840"
"0x7ea99f2e04a0","@!P1  IADD3 R3, R3, 0x1, RZ","768","3840"
"0x7ea99f2e04b0","      ISETP.NE.AND P1, PT, R116, RZ, PT","768","24576"
"0x7ea99f2e04c0","      ISETP.GE.U32.AND P0, PT, R0, R7, PT","768","24576"
"0x7ea99f2e04d0","      LOP3.LUT R0, R5, R116, RZ, 0x3c, !PT","768","24576"
"0x7ea99f2e04e0","      ISETP.GE.AND P2, PT, R0, RZ, PT","768","24576"
"0x7ea99f2e04f0","@P0   IADD3 R3, R3, 0x1, RZ","768","0"
"0x7ea99f2e0500","      ISETP.NE.AND P0, PT, RZ, c[0x0][0x18c], PT","768","24576"
"0x7ea99f2e0510","@!P2  IMAD.MOV R3, RZ, RZ, -R3","768","0"
"0x7ea99f2e0520","@!P1  LOP3.LUT R3, RZ, R116, RZ, 0x33, !PT","768","0"
"0x7ea99f2e0530","      IMAD.MOV R0, RZ, RZ, -R3","768","24576"
"0x7ea99f2e0540","      IMAD.SHL.U32 R118, R3, 0x80, RZ","768","24576"
"0x7ea99f2e0550","      IMAD R116, R116, R0, R5","768","24576"
"0x7ea99f2e0560","@!P0  BRA 0x7ea99f2ebb90","768","0"
"0x7ea99f2e0570","      ISETP.NE.U32.AND P0, PT, RZ, c[0x0][0x178], PT","768","24576"
"0x7ea99f2e0580","      IMAD.SHL.U32 R3, R6, 0x2, RZ","768","24576"
"0x7ea99f2e0590","      LOP3.LUT R0, R6, 0x60, RZ, 0xc0, !PT","768","24576"
"0x7ea99f2e05a0","      IMAD.MOV.U32 R9, RZ, RZ, 0x4","768","24576"
"0x7ea99f2e05b0","      ISETP.NE.AND.EX P0, PT, RZ, c[0x0][0x17c], PT, P0","768","24576"
"0x7ea99f2e05c0","      CS2R R54, SRZ","768","24576"
"0x7ea99f2e05d0","      LOP3.LUT R15, R6, 0x1f, RZ, 0xc0, !PT","768","24576"
"0x7ea99f2e05e0","      CS2R R44, SRZ","768","24576"
"0x7ea99f2e05f0","      LOP3.LUT R3, R0, 0x6, R3, 0xf8, !PT","768","24576"
"0x7ea99f2e0600","      CS2R R52, SRZ","768","24576"
"0x7ea99f2e0610","      SHF.R.S32.HI R7, RZ, 0x7, R6","768","24576"
"0x7ea99f2e0620","      CS2R R62, SRZ","768","24576"
"0x7ea99f2e0630","      SHF.R.S32.HI R11, RZ, 0x3, R6","768","24576"
"0x7ea99f2e0640","      IMAD R140, R116, 0x80, R3","768","24576"
"0x7ea99f2e0650","      SHF.R.U32.HI R5, RZ, 0x2, R15","768","24576"
"0x7ea99f2e0660","      CS2R R60, SRZ","768","24576"
"0x7ea99f2e0670","      LOP3.LUT R4, R6, 0xf, RZ, 0xc0, !PT","768","24576"
"0x7ea99f2e0680","      CS2R R66, SRZ","768","24576"
"0x7ea99f2e0690","      LOP3.LUT R2, R6, R11, RZ, 0x3c, !PT","768","24576"
"0x7ea99f2e06a0","      IMAD R3, R7, 0x40, R5","768","24576"
"0x7ea99f2e06b0","      CS2R R64, SRZ","768","24576"
"0x7ea99f2e06c0","      IMAD R4, R7, 0x40, R4","768","24576"
"0x7ea99f2e06d0","      CS2R R70, SRZ","768","24576"
"0x7ea99f2e06e0","      IMAD.SHL.U32 R7, R2, 0x4, RZ","768","24576"
"0x7ea99f2e06f0","      CS2R R68, SRZ","768","24576"
