"Kernel Name","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params)",
"Address","Source","Instructions Executed","Predicated-On Thread Instructions Executed"
"0x782ae6300000","      MOV R1, c[0x0][0x28]","512","16384"
"0x782ae6300010","      S2R R2, SR_CTAID.Y","512","16384"
"0x782ae6300020","      IMAD.MOV.U32 R0, RZ, RZ, -0x1","512","16384"
"0x782ae6300030","      S2R R14, SR_CTAID.X","512","16384"
"0x782ae6300040","      SHF.L.U32 R3, R0, c[0x0][0x178], RZ","512","16384"
"0x782ae6300050","      SHF.L.U32 R2, R2, c[0x0][0x178], RZ","512","16384"
"0x782ae6300060","      LOP3.LUT R3, R14, R3, RZ, 0x30, !PT","512","16384"
"0x782ae6300070","      SHF.R.S32.HI R14, RZ, c[0x0][0x178], R14","512","16384"
"0x782ae6300080","      IMAD.IADD R16, R2, 0x1, R3","512","16384"
"0x782ae6300090","      ISETP.GE.AND P0, PT, R16, c[0x0][0x170], PT","512","16384"
"0x782ae63000a0","      ISETP.GE.OR P0, PT, R14, c[0x0][0x16c], P0","512","16384"
"0x782ae63000b0","@P0   EXIT","512","4096"
"0x782ae63000c0","      S2R R182, SR_CTAID.Z","384","12288"
"0x782ae63000d0","      IMAD.MOV.U32 R0, RZ, RZ, c[0x0][0x17c]","384","12288"
"0x782ae63000e0","      MOV R2, c[0x0][0x278]","384","12288"
"0x782ae63000f0","      IMAD.MOV.U32 R3, RZ, RZ, c[0x0][0x27c]","384","12288"
"0x782ae6300100","      MOV R6, c[0x0][0x280]","384","12288"
"0x782ae6300110","      IMAD.MOV.U32 R7, RZ, RZ, c[0x0][0x284]","384","12288"
"0x782ae6300120","      ISETP.GE.U32.AND P0, PT, R0, 0x2, PT","384","12288"
"0x782ae6300130","@!P0  BRA 0x782ae63002e0","384","12288"
"0x782ae6300140","      ISETP.NE.AND P0, PT, R0, 0x2, PT","0","0"
"0x782ae6300150","      IMAD.MOV.U32 R4, RZ, RZ, c[0x0][0x168]","0","0"
"0x782ae6300160","      MOV R31, RZ","0","0"
"0x782ae6300170","@!P0  BRA 0x782ae6300200","0","0"
"0x782ae6300180","      ISETP.NE.AND P0, PT, R0, 0x3, PT","0","0"
"0x782ae6300190","@P0   BRA 0x782ae6300330","0","0"
"0x782ae63001a0","      MOV R7, 0x8","0","0"
"0x782ae63001b0","      IMAD.WIDE R2, R182, R7, c[0x0][0x278]","0","0"
"0x782ae63001c0","      IMAD.WIDE R6, R182, R7, c[0x0][0x280]","0","0"
"0x782ae63001d0","      LDG.E.64 R2, [R2]","0","0"
"0x782ae63001e0","      LDG.E.64 R6, [R6]","0","0"
"0x782ae63001f0","      BRA 0x782ae6300330","0","0"
"0x782ae6300200","      SHF.R.S32.HI R7, RZ, 0x1f, R182","0","0"
"0x782ae6300210","      IMAD.WIDE.U32 R10, R182, c[0x0][0x298], RZ","0","0"
"0x782ae6300220","      IMAD R3, R7, c[0x0][0x298], RZ","0","0"
"0x782ae6300230","      LEA R2, P1, R10, c[0x0][0x278], 0x2","0","0"
"0x782ae6300240","      IMAD R7, R7, c[0x0][0x2a0], RZ","0","0"
"0x782ae6300250","      IMAD.WIDE.U32 R8, R182, c[0x0][0x2a0], RZ","0","0"
"0x782ae6300260","      IMAD R3, R182, c[0x0][0x29c], R3","0","0"
"0x782ae6300270","      LEA R6, P0, R8, c[0x0][0x280], 0x2","0","0"
"0x782ae6300280","      IMAD R7, R182, c[0x0][0x2a4], R7","0","0"
"0x782ae6300290","      IADD3 R3, R11, R3, RZ","0","0"
"0x782ae63002a0","      IADD3 R7, R9, R7, RZ","0","0"
"0x782ae63002b0","      LEA.HI.X R3, R10, c[0x0][0x27c], R3, 0x2, P1","0","0"
"0x782ae63002c0","      LEA.HI.X R7, R8, c[0x0][0x284], R7, 0x2, P0","0","0"
"0x782ae63002d0","      BRA 0x782ae6300330","0","0"
"0x782ae63002e0","      IADD3 R4, R182, 0x1, RZ","384","12288"
"0x782ae63002f0","      IMAD R31, R182, c[0x0][0x184], RZ","384","12288"
"0x782ae6300300","      ISETP.GE.AND P0, PT, R4, c[0x0][0x174], PT","384","12288"
"0x782ae6300310","      IMAD R4, R4, c[0x0][0x184], RZ","384","12288"
"0x782ae6300320","      SEL R4, R4, c[0x0][0x168], !P0","384","12288"
"0x782ae6300330","      S2R R0, SR_TID.X","384","12288"
"0x782ae6300340","      IMAD.IADD R10, R4, 0x1, -R31","384","12288"
