"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","640",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","640",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","Mbyte","34.60",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum","Mbyte","1.06",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors.sum","sector","1080459",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","1075486",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","13",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","9.47",
"0","2283948","gemm_bi_tn_d128_fused_contract_tournament-8219629cb310a691","127.0.0.1","gemm_bi_tn_ada_d128_direct_m16n16_f64fold_v1","1","13","(64, 1, 1)","(256, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.80",
