"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","9.49",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.64",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","156889",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","67.29",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","0.00",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","us","95.49",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","48.48",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","67.29",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","138098.74",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","42.20",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","Memory is more heavily utilized than Compute: Look at the Memory Workload Analysis section to identify the L2 bottleneck. Check memory replay (coalescing) metrics to make sure you're efficiently utilizing the bytes transferred. Also consider whether it is possible to do more work per memory access (kernel fusion) or whether there are values you can (re)compute.","",""
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Active","inst/cycle","1.62",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","1.42",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","Compute Workload Analysis","Issue Slots Busy","%","35.64",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","Compute Workload Analysis","Issued Ipc Active","inst/cycle","1.63",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","Compute Workload Analysis","SM Busy","%","42.20",
"0","2993275","gemm_bi_typed_parity-94f76dadc2c09cc4","127.0.0.1","gemm_bi_tn_test_tc64_bk64_s2_regpipe_f16","1","13","(128, 1, 1)","(576, 1, 1)","0","8.9","ComputeWorkloadAnalysis","","","","HighPipeUtilization","INF","Tensor is the highest-utilized pipeline (42.2%) based on elapsed cycles in the workload, taking into account the rates of its different instructions. It is the logical aggregation of individual tensor pipelines. It's dominated by its Tensor (FP) sub-pipeline. It is well-utilized, but should not be a bottleneck.","",""
