"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","Kbyte","35.07",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","Kbyte","35.07",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum","Mbyte","332.87",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum","Mbyte","5.92",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors.sum","sector","10524097",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_hit.sum","sector","10486308",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sectors_lookup_miss.sum","sector","17",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","9.49",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.80",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","443751",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","27.97",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","0.02",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","us","246.56",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","42.97",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","27.97",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","261613.56",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","25.33",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.65 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Active","inst/cycle","1.41",
"0","3500716","gemm_bi_performance_matrix-15e772a3a3d63b19","127.0.0.1","gemm_bi_tn_sm80_mma_tf32_v1_m128n64_bk32_s3","1","13","(256, 1, 1)","(93, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.83",
