
running 1 test
test mamba_ssm::gpu::gemm_bi_inference::observed_inventory_cuda_tests::inference_observed_terminals_match_unrecorded_bits_on_ada ... INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc16_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 37, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc16_f32out_bf16 input=Bf16 output=F32 bias=false shape=InferenceShape { m: 3, k: 37, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_bf16_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_bf16_bf16 input=Bf16 output=Bf16 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc16_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc16_bf16 input=Bf16 output=Bf16 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc64_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc64_bf16 input=Bf16 output=Bf16 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc128_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tc128_bf16 input=Bf16 output=Bf16 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tcw64_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tcw64_bf16 input=Bf16 output=Bf16 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tcwn64_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_tcwn64_bf16 input=Bf16 output=Bf16 bias=true shape=InferenceShape { m: 3, k: 64, n: 96 }
INFERENCE_TERMINAL_PASS symbol=gemm_bi_nn_fixed_sm89_tc128_pipeline_v1_bf16 input=Bf16 output=Bf16 bias=false shape=InferenceShape { m: 3, k: 64, n: 96 }
